"","INI","BOOU","DEER","EZLE","GRCL","LENO","LETH","LOVA","MATA","MOHU","NIJO","PAMA","TRWI","ZAMI"
"time",101.889592852435,101.70135689266,84.5853503755856,105.089719425838,110.308734685783,77.4490766963456,218.756272997296,69.9362579453003,75.5423397970291,84.5853525255628,57.0465035820861,104.219278614272,89.0587437160203,72.7153470590689
"HR",3.04650634569315,4.86771690433584,5.05904114662719,2.01444381649005,3.02797267889323,1.13314370748608,4.09145609340269,0.276632380150725,8.74985651235171,0.175977958772861,0.146701043226207,5.52105735813681,9.33617251941946,0.218640937177746
"FP1AlphaMean",0.318860753989429,0.246090582995278,1.43237012755701,0.542521025584967,0.465327704860249,0.249673999002413,0.738946783288928,5.32075352183643,0.42793478155495,0.192100861171667,0.18166716004379,0.464803164032704,0.861719238293841,0.951365918063951
"FP1BetaMean",1.54282993712345,1.34651290831675,2.64494342418559,0.606435765554588,0.697711588771754,0.295887405296465,0.954738625856513,0.315901167992615,0.641333404891199,0.342785567890185,0.170519569079258,0.56358083462751,0.290103935332677,5.11237427088459
"FP1ThetaMean",0.332861330609225,0.49835221422786,0.196564496462204,1.08845962016989,0.272579750784392,0.195422670725052,1.1230651288248,0.293906011692148,0.150490678972074,0.792115194868583,0.20444545086576,0.444614518790017,0.633838853964125,0.266954806092306
"FP1DeltaMean",0.760599145443971,0.58161096482744,1.58568227656699,5.16312248941623,1.25163179977016,0.6915727800429,0.989199555038525,2.31487823053992,0.299771617420709,3.31520622157626,0.114225924534425,3.16823602618122,0.862305655902461,0.146632675438506
"FP2AlphaMean",0.229991469711988,0.292583053028211,0.669753237652998,0.526292052823904,0.255142579974763,0.147623111916171,0.892854920640643,6.24754465914863,0.345741719693402,0.189243706509462,2.51006115878291,0.315337031001531,0.768020387684956,0.214321082865301
"FP2BetaMean",0.521006608164542,0.755131876685211,2.76517762562538,0.686861740870424,0.505610432719565,0.120700207106804,1.00600084620381,0.0991430961427752,0.344452039926912,0.373274539579474,28.670837388316,0.655582464999168,0.282975293761299,6.13052019404754
"FP2ThetaMean",0.563280246814558,0.716830692921302,0.159664061812618,2.40493212336222,1.02380603266905,0.135478247037002,1.01313269414543,0.12273401228629,0.242268743688023,0.193392484359163,10.3265348715923,0.441651222591017,1.17976973999657,0.145594509903464
"FP2DeltaMean",0.476029075111682,0.331464980216708,1.13854990813134,7.3369805228252,1.20812964587225,0.818761277661981,0.878331201849694,1.55710496399036,0.19808554070789,0.400406149042101,3.43725676986933,8.5451970251934,0.30618649857646,0.136081431771468
"F7AlphaMean",0.352030288774976,0.559096457942558,2.11428890686547,0.353015054601125,0.356680054874508,0.404367853428109,0.758901480499961,8.25862345429082,0.158539999332863,0.732152584123204,1.50197385526695,0.296694355334894,10.9064791239034,0.102251977884361
"F7BetaMean",0.437001749789751,0.396537064360897,0.654282625634771,0.58133786340944,0.392862594582524,0.328512580837976,1.00516558794593,0.132766639001388,27.8866806854809,0.648437377268636,0.325641924664565,0.889788903207039,7.33853173739883,1.60608481358922
"F7ThetaMean",0.355928259322507,0.602837967195944,0.462074198943626,0.369822770932762,0.270557015261135,16.2291083206782,1.18734365148913,0.256550553203887,0.149752898893679,1.11937700855314,0.732972663701273,2.9831587029131,0.334692820962447,0.286412726728401
"F7DeltaMean",1.01155019057935,0.57036940546512,0.292776392056561,0.969949589004586,0.365374224191845,9.41114450001442,0.839988755571135,0.424768229973015,0.199438207555406,14.5808709235325,0.339475670368851,6.21454426212788,0.956132396763585,0.474115134793237
"F3AlphaMean",0.338102531224071,0.328679526252246,1.95721136732959,1.44001909670467,0.241940336713331,0.211158267979404,1.03709840562233,5.51870203023899,0.415344298081842,0.794137657348892,0.0479850533761147,0.430281875554314,3.30211309147101,0.598595712262679
"F3BetaMean",2.08833164022113,1.80446399229396,1.82592013135706,0.503571950797698,0.376919318667626,0.184124477056249,0.85680425852774,0.180669552982138,17.8905832367488,0.570562316201722,0.410042368143631,0.543446658753753,5.00994532035293,7.79136531961017
"F3ThetaMean",2.72917284807812,3.68791600465514,0.169836060520354,0.23677705852616,0.347913603516911,0.445286017636251,0.963202323385914,0.0698234724022014,0.153616872711267,0.213767023305089,0.199572273373759,0.418251712494466,0.425358701886379,0.558681174212209
